day,leader_avg,follower_avg,epsilon,velocity,llm_pos,llm_neu,llm_neg,is_anchor,phase,avg_memory_size
-5,0.7138,0.7676,0.9,0.0,0,148,0,False,crisis,0.0
-4,0.707,0.6784,0.9,0.0069,0,148,0,False,crisis,0.0
-3,0.7006,0.6986,0.9,0.0068,0,148,0,False,crisis,0.0
-2,0.6952,0.7048,0.9,0.0064,0,148,0,False,crisis,0.0
-1,0.6913,0.684,0.9,0.0054,0,148,0,False,crisis,0.0
0,0.6894,0.6897,0.9,0.0039,0,148,0,True,crisis,0.0
1,0.6895,0.6867,0.9,0.0019,0,148,0,False,crisis,0.0
2,0.6929,0.6953,0.9,0.0001,0,148,0,False,crisis,0.0
3,0.6932,0.6966,0.9,0.0034,0,148,0,False,crisis,0.0
4,0.7015,0.713,0.9,0.0003,0,148,0,False,crisis,0.0
5,0.7051,0.7096,0.9,0.0084,0,148,0,False,crisis,0.0
6,0.7133,0.7272,0.9,0.0035,0,148,0,False,crisis,0.0
7,0.7152,0.7163,0.9,0.0082,0,148,0,False,crisis,0.0
8,0.7232,0.7371,0.9,0.0019,0,148,0,False,crisis,0.0
9,0.7228,0.7149,0.9,0.008,0,148,0,False,crisis,0.0
10,0.7287,0.7394,0.9,0.0004,0,148,0,True,crisis,0.0
11,0.7274,0.7139,0.9,0.0059,0,148,0,False,crisis,0.0
12,0.7305,0.7409,0.9,0.0013,0,148,0,False,crisis,0.0
13,0.7291,0.7143,0.9,0.0031,0,148,0,False,crisis,0.0
14,0.7306,0.7416,0.9,0.0014,0,148,0,False,crisis,0.0
15,0.7293,0.7164,0.9,0.0015,0,148,0,False,crisis,0.0
16,0.7306,0.7394,0.9,0.0013,0,148,0,False,crisis,0.0
17,0.7296,0.7168,0.9,0.0013,0,148,0,False,crisis,0.0
18,0.731,0.7394,0.9,0.001,0,148,0,False,crisis,0.0
19,0.7294,0.7156,0.9,0.0014,0,148,0,False,crisis,0.0
20,0.731,0.7403,0.9,0.0017,0,148,0,False,crisis,0.0
21,0.7294,0.7136,0.9,0.0016,0,148,0,False,crisis,0.0
22,0.731,0.7407,0.9,0.0016,0,148,0,False,crisis,0.0
23,0.7294,0.7133,0.9,0.0017,0,148,0,False,crisis,0.0
24,0.7311,0.7401,0.9,0.0016,0,148,0,False,crisis,0.0
25,0.7296,0.713,0.9,0.0017,0,148,0,False,crisis,0.0
